HTNO,SUBCODE,IM
159Y1A01A6,1501604,26
159Y1A01A7,1501604,26
159Y1A01A8,1501604,24
159Y1A01A9,1501604,19
159Y1A01B0,1501604,27
159Y1A01B1,1501604,19
159Y1A01B2,1501604,28
159Y1A01B3,1501604,17
159Y1A01B4,1501604,20
159Y1A01B5,1501604,10
159Y1A01B6,1501604,29
159Y1A01B7,1501604,24
159Y1A01B8,1501604,21
159Y1A01B9,1501604,4
159Y1A01C0,1501604,15
159Y1A01C1,1501604,30
159Y1A01C2,1501604,21
159Y1A01C3,1501604,25
159Y1A01C4,1501604,27
159Y1A01C5,1501604,3
159Y1A01C6,1501604,11
159Y1A01C7,1501604,28
159Y1A01C8,1501604,12
159Y1A01C9,1501604,13
159Y1A01D0,1501604,14
159Y1A01D1,1501604,14
159Y1A01D2,1501604,15
159Y1A01D3,1501604,21
159Y1A01D5,1501604,18
159Y1A01D6,1501604,17
159Y1A01D7,1501604,11
159Y1A01D8,1501604,28
159Y1A01D9,1501604,18
159Y1A01E2,1501604,15
159Y1A01E3,1501604,16
159Y1A01E4,1501604,30
159Y1A01E5,1501604,14
159Y1A01E6,1501604,17
159Y1A01E7,1501604,15
159Y1A01E8,1501604,21
159Y1A01E9,1501604,27
159Y1A01F0,1501604,23
159Y1A01F1,1501604,20
159Y1A01F2,1501604,5
159Y1A01F3,1501604,25
159Y1A01F4,1501604,10
159Y1A01F5,1501604,25
159Y1A01F6,1501604,21
159Y1A01F7,1501604,23
159Y1A01F8,1501604,18
159Y1A01F9,1501604,24
159Y1A01G0,1501604,16
159Y1A01G1,1501604,21
159Y1A01G2,1501604,16
169Y5A0101,1501604,16
169Y5A0102,1501604,28
169Y5A0103,1501604,16
169Y5A0104,1501604,29
169Y5A0105,1501604,21
169Y5A0106,1501604,18
169Y5A0107,1501604,24
169Y5A0108,1501604,20
169Y5A0109,1501604,23
169Y5A0110,1501604,23
169Y5A0111,1501604,17
169Y5A0113,1501604,20
169Y5A0114,1501604,25
